"","bay_segment","yr","mean_chla"
"155","OTB",1990,9.3352696969697
"156","OTB",1991,8.28598225108225
"157","OTB",1992,7.87528703703704
"158","OTB",1993,7.58873888888889
"159","OTB",1994,9.43491666666667
"160","OTB",1995,11.5207388888889
"161","OTB",1996,6.84795555555556
"162","OTB",1997,8.36139444444444
"163","OTB",1998,11.2267055555556
"164","OTB",1999,8.13100833333333
"165","OTB",2000,7.16749444444444
"166","OTB",2001,8.60295555555556
"167","OTB",2002,7.82525634920635
"168","OTB",2003,11.7178115384615
"169","OTB",2004,11.810648015873
"170","OTB",2005,8.42761904761905
"171","OTB",2006,6.28166666666667
"172","OTB",2007,8.63777777777778
"173","OTB",2008,9.27111111111111
"174","OTB",2009,12.1211111111111
"175","OTB",2010,7.44238095238095
"176","OTB",2011,11.4133333333333
"177","OTB",2012,7.83055555555556
"178","OTB",2013,8.66444444444445
"179","OTB",2014,7.86277777777778
"180","OTB",2015,10.6711111111111
"181","OTB",2016,8.98666666666667
"182","OTB",2017,9.53555555555556
"183","OTB",2018,9.21666666666667
"184","OTB",2019,4.69777777777778
